water;fat;protein;typ
60.5;22.5;16.7;train
46.0;40.1;13.5;train
71.0;8.4;20.5;train
72.8;5.9;20.7;train
58.3;25.5;15.5;train
44.0;42.7;13.7;train
69.3;10.6;19.3;train
61.4;19.9;17.7;train
41.4;46.0;12.5;train
76.6;0.9;21.2;train
72.7;2.9;21.7;train
71.4;3.5;21.5;train
69.8;4.0;21.3;train
74.5;5.2;20.2;train
73.5;5.6;20.0;train
74.1;6.3;19.2;train
67.3;7.2;20.1;train
71.8;7.8;20.2;train
72.45;7.9;19.7;train
71.6;9.2;18.7;train
69.4;9.3;18.2;train
67.9;10.2;21.5;train
65.5;12.5;17.0;train
64.6;13.5;16.7;train
65.5;13.5;16.2;train
61.4;14.6;15.8;train
66.2;16.3;17.5;train
67.1;18.6;11.6;train
60.5;20.9;17.2;train
60.6;21.2;17.8;train
60.6;25.1;11.0;train
57.6;26.5;11.1;train
53.5;27.8;13.2;train
56.0;29.7;14.4;train
50.3;30.4;19.2;train
52.5;31.5;16.0;train
49.5;35.2;15.2;train
49.1;35.8;15.2;train
42.2;43.8;13.3;train
40.2;48.2;11.0;train
39.5;48.5;12.0;train
39.3;49.1;13.1;train
72.5;8.2;19.3;train
70.3;11.0;19.3;train
74.0;3.6;21.6;train
75.1;3.9;21.2;train
74.6;5.1;19.6;train
73.1;5.2;20.7;train
73.4;5.6;20.5;train
74.2;5.6;19.5;train
73.6;6.0;20.1;train
72.5;6.4;20.9;train
72.7;6.4;20.4;train
72.5;6.6;20.4;train
71.5;6.7;21.5;train
72.6;6.8;19.6;train
72.5;6.9;20.2;train
69.1;7.0;20.5;train
72.8;7.2;19.5;train
72.7;7.2;18.9;train
72.1;7.2;20.5;train
71.6;7.7;20.7;train
70.8;7.7;20.8;train
72.0;8.1;19.4;train
71.2;8.4;19.7;train
70.3;8.5;21.0;train
69.5;9.6;20.1;train
68.5;9.7;21.6;train
70.5;9.7;19.2;train
67.3;10.1;20.1;train
69.3;10.1;20.5;train
69.4;10.9;19.1;train
69.5;10.9;19.2;train
67.0;11.0;21.8;train
69.0;11.2;19.5;train
72.9;11.2;13.7;train
66.8;11.7;19.0;train
68.6;12.7;17.8;train
71.3;13.8;12.6;train
67.3;14.0;18.6;train
66.7;15.4;17.2;train
65.9;15.5;19.2;train
65.6;15.7;18.4;train
66.2;16.4;17.4;train
65.6;16.4;18.0;train
65.0;16.4;17.4;train
64.6;17.2;19.4;train
63.3;17.4;19.2;train
64.4;17.6;18.0;train
63.6;18.2;17.2;train
63.1;18.3;19.2;train
61.7;18.8;19.5;train
62.4;20.6;17.1;train
60.3;21.5;17.6;train
58.0;23.0;18.7;train
58.7;24.9;16.0;train
56.7;26.0;16.8;train
57.9;26.1;15.3;train
56.9;27.3;15.4;train
56.6;28.1;15.2;train
54.9;28.7;14.3;train
53.6;28.8;18.2;train
55.5;28.9;15.2;train
55.4;29.2;15.0;train
51.6;31.5;17.1;train
51.4;32.0;16.0;train
52.9;32.2;14.1;train
51.5;34.2;14.9;train
50.3;35.1;14.0;train
50.6;36.2;13.4;train
49.6;36.5;13.9;train
48.6;37.8;13.8;train
43.9;44.7;12.1;train
42.1;45.0;11.8;train
42.2;45.7;11.0;train
54.1;29.8;15.7;val
76.1;1.4;21.6;val
74.0;4.6;20.8;val
65.7;11.0;16.3;val
63.6;17.0;19.7;val
62.4;22.4;11.5;val
54.2;27.9;17.6;val
41.2;46.5;11.1;val
71.1;6.1;21.5;val
75.6;2.0;21.4;val
73.9;4.7;21.1;val
73.5;5.3;21.6;val
73.1;6.0;19.6;val
72.4;6.4;20.6;val
73.4;7.1;18.8;val
71.9;7.3;20.1;val
70.9;9.0;19.9;val
65.7;10.0;19.7;val
69.2;10.5;19.6;val
68.7;11.0;20.0;val
67.5;12.2;20.1;val
65.2;14.0;20.5;val
62.7;15.9;21.0;val
66.2;16.5;17.2;val
63.2;17.7;19.0;val
60.3;23.4;16.3;val
56.9;26.7;15.6;val
55.6;28.3;16.3;val
53.3;31.1;16.3;val
52.2;33.7;14.2;val
48.5;38.5;12.2;val
42.1;46.3;11.5;val
40.7;47.7;11.8;test
70.7;4.7;20.5;test
71.5;8.6;19.4;test
59.7;17.7;15.8;test
59.8;23.3;16.4;test
55.5;29.0;16.6;test
50.3;34.8;14.6;test
41.0;47.8;11.6;test
65.2;11.1;19.2;test
72.1;4.8;21.6;test
73.6;6.2;19.3;test
73.4;6.8;18.7;test
72.0;7.1;19.0;test
73.2;7.3;19.9;test
71.9;7.9;19.1;test
69.5;9.2;21.5;test
67.9;10.1;19.5;test
71.1;10.7;17.7;test
65.7;11.2;19.4;test
68.1;12.5;18.6;test
66.8;14.3;17.4;test
64.7;16.0;19.0;test
63.0;18.1;18.6;test
62.5;19.4;17.9;test
55.3;24.8;19.3;test
56.6;27.2;15.7;test
54.4;28.4;14.4;test
53.4;31.3;15.3;test
51.6;33.8;13.8;test
50.3;35.5;13.2;test
44.9;42.5;12.0;test
